GENERATION;AVERAGE;MAX POINTS;AGGREGATED HEIGHT;COMPLETE LINES;HOLES;BUMPINESS
44;0.286212;80300;0.179006;0.2166;-0.344799;-0.0387222
45;0.540672;80460;0.132802;0.469767;-0.344799;-0.0387222
46;0.663557;58760;0.132802;0.23707;-0.344799;-0.0387222
47;0.457129;35760;0.179006;0.2166;-0.344799;-0.0387222
48;0.867144;90360;0.132802;0.2166;-0.344799;-0.0387222
49;0.687423;50080;0.132802;0.2166;-0.344799;-0.0387222
50;0.839462;90100;0.179006;0.2166;-0.344799;-0.0387222
51;0.796248;32200;0.179006;0.167561;-0.344799;-0.0387222
52;0.730573;100820;0.179006;0.2166;-0.344799;-0.0387222
53;0.568577;49520;0.132802;0.2166;-0.344799;-0.0387222
54;0.577555;107260;0.132802;0.167561;-0.344799;-0.0387222
55;0.264635;108300;0.132802;0.167561;-0.344799;-0.0387222
56;0.293525;113140;0.132802;0.156446;-0.344799;-0.0387222
57;0.302938;37420;0.132802;0.167561;-0.344799;-0.0387222
58;0.513215;75240;0.179006;0.167561;-0.344799;-0.0387222
59;0.663862;105060;0.132802;0.167561;-0.344799;-0.0387222
60;0.608327;120860;0.132802;0.167561;-0.344799;-0.0387222
61;0.848393;119380;0.132802;0.167561;-0.344799;-0.0387222
62;0.0915892;49480;0.179006;0.2166;-0.344799;-0.0387222
63;0.52779;45120;0.132802;0.167561;-0.344799;-0.0387222
64;0.358914;129620;0.132802;0.119152;-0.344799;-0.0387222
65;0.170616;120720;0.155312;0.167561;-0.344799;-0.0387222
66;0.40231;124820;0.132802;0.210599;-0.344799;-0.0387222
67;0.677133;137360;0.132802;0.167561;-0.344799;-0.0387222
68;0.676405;131120;0.155312;0.167561;-0.344799;-0.0387222
69;0.64392;110860;0.132802;0.167561;-0.344799;-0.0387222
70;0.839821;138740;0.132802;0.167561;-0.344799;-0.0387222
71;0.274224;91040;0.155312;0.17238;-0.344799;-0.0387222
72;0.82569;135000;0.155312;0.167561;-0.344799;-0.0387222
73;0.454783;141660;0.155312;0.17238;-0.344799;-0.0387222
74;0.207766;102920;0.132802;0.167561;-0.344799;-0.0387222
75;0.599473;137840;0.132802;0.17238;-0.344799;-0.0387222
76;0.636902;151400;0.132802;0.17238;-0.344799;-0.0387222
77;0.565004;105340;0.155312;0.167561;-0.344799;-0.0387222
78;0.533279;155620;0.155312;0.167561;-0.344799;-0.0387222
79;0.58107;148000;0.155312;0.159839;-0.344799;-0.0387222
80;0.630088;164660;0.155312;0.104562;-0.344799;-0.0387222
81;0.195516;112980;0.155312;0.104562;-0.344799;-0.0387222
82;0.563531;71940;0.132802;0.27242;-0.344799;-0.0387222
83;0.211322;169800;0.132802;0.167561;-0.344799;-0.0387222
84;0.22626;98920;0.132802;0.27242;-0.344799;-0.0387222
85;0.375965;66540;0.132802;0.27242;-0.344799;-0.0387222
86;0.18978;109620;0.132802;0.167561;-0.344799;-0.0387222
87;0.273739;162880;0.132802;0.167561;-0.344799;-0.0467592
88;0.573053;90980;0.132802;0.167561;-0.344799;-0.0387222
89;0.162828;173480;0.132802;0.223758;-0.344799;-0.0387222
90;0.29033;175780;0.132802;0.148812;-0.344799;-0.0387222
91;0.427394;162200;0.155312;0.167561;-0.344799;-0.0387222
92;0.636076;175180;0.155312;0.167561;-0.344799;-0.0387222
93;0.229368;133780;0.153607;0.167561;-0.344799;-0.0387222
94;0.254188;136420;0.153607;0.104562;-0.344799;-0.0387222
95;0.592873;143420;0.132802;0.104562;-0.344799;-0.0387222
96;0.928342;193060;0.132802;0.104562;-0.344799;-0.0387222
97;0.883274;7560;0.132802;0.104562;-0.344799;-0.0387222
